AL, 05, 2021072906, 05, CARQ,  -54,  99N, 250W,  20, 1011, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021072912, 05, CARQ,  -48, 100N, 255W,  20, 1011, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021072918, 05, CARQ,  -48, 100N, 261W,  25, 1010, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021073000, 05, CARQ,  -42, 100N, 267W,  25, 1010, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021073006, 05, CARQ,  -36, 100N, 274W,  25, 1009, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021073012, 05, CARQ,  -30, 100N, 282W,  25, 1010, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021073018, 05, CARQ,  -24, 101N, 289W,  25, 1009, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021073100, 05, CARQ,  -18, 101N, 298W,  30, 1009, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021073106, 05, CARQ,  -12, 102N, 304W,  30, 1008, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021073112, 05, CARQ,   -6, 102N, 309W,  35, 1007, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021073118, 05, CARQ,    0, 103N, 316W,  35, 1006, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080100, 05, CARQ,    6, 103N, 324W,  35, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080106, 05, CARQ,   12, 103N, 333W,  40, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080112, 05, CARQ,   18, 104N, 340W,  40, 1002, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080118, 05, CARQ,   24, 104N, 348W,  40, 1000, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080200, 05, CARQ,   30, 105N, 355W,  35, 1003, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080206, 05, CARQ,   36, 105N, 361W,  35, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080212, 05, CARQ,   42, 106N, 368W,  30, 1006, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080218, 05, CARQ,   48, 106N, 378W,  30, 1008, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080300, 05, CARQ,   54, 107N, 387W,  30, 1006, TD,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080306, 05, CARQ,   60, 107N, 395W,  35, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080312, 05, CARQ,   66, 108N, 402W,  40, 1005, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080318, 05, CARQ,   72, 108N, 410W,  40, 1003, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080400, 05, CARQ,   78, 108N, 419W,  45,  999, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080406, 05, CARQ,   84, 109N, 429W,  45,  998, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080412, 05, CARQ,   90, 109N, 440W,  50,  996, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080418, 05, CARQ,   96, 109N, 448W,  50,  995, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080500, 05, CARQ,  102, 110N, 455W,  55,  993, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080506, 05, CARQ,  108, 110N, 464W,  55,  992, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080512, 05, CARQ,  114, 111N, 473W,  60,  991, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080518, 05, CARQ,  120, 111N, 481W,  60,  990, TS,  50, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080600, 05, CARQ,  126, 112N, 490W,  65,  989, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080606, 05, CARQ,  132, 112N, 500W,  65,  987, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080612, 05, CARQ,  138, 112N, 509W,  70,  985, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080618, 05, CARQ,  144, 113N, 517W,  70,  983, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080700, 05, CARQ,  150, 113N, 525W,  80,  977, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080706, 05, CARQ,  156, 114N, 532W,  80,  975, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080712, 05, CARQ,  168, 115N, 540W,  85,  969, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080718, 05, CARQ,  172, 115N, 550W,  90,  966, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080800, 05, CARQ,  178, 116N, 559W,  90,  962, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080806, 05, CARQ,  184, 118N, 568W, 100,  956, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080812, 05, CARQ,  190, 118N, 577W, 100,  954, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080818, 05, CARQ,  196, 119N, 588W, 105,  951, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080900, 05, CARQ,  202, 119N, 596W, 105,  948, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080806, 05, CARQ,  208, 120N, 603W, 110,  947, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080912, 05, CARQ,  214, 120N, 609W, 110,  944, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021080918, 05, CARQ,  220, 123N, 614W, 115,  940, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081000, 05, CARQ,  226, 125N, 620W, 120,  936, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081006, 05, CARQ,  232, 126N, 625W, 120,  932, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081012, 05, CARQ,  238, 126N, 629W, 125,  930, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081018, 05, CARQ,  244, 127N, 633W, 125,  929, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081100, 05, CARQ,  250, 127N, 637W, 135,  925, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081106, 05, CARQ,  256, 128N, 643W, 140,  923, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081112, 05, CARQ,  262, 130N, 649W, 145,  921, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081118, 05, CARQ,  276, 131N, 655W, 145,  919, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081200, 05, CARQ,  282, 132N, 661W, 150,  901, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081206, 05, CARQ,  288, 134N, 666W, 170,  884, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081212, 05, CARQ,  294, 137N, 672W, 200,  858, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081218, 05, CARQ,  300, 139N, 679W, 185,  861, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081300, 05, CARQ,  306, 140N, 688W, 185,  863, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081306, 05, CARQ,  312, 140N, 696W, 180,  864, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081312, 05, CARQ,  318, 141N, 704W, 175,  866, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081318, 05, CARQ,  324, 141N, 712W, 165,  871, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081400, 05, CARQ,  330, 141N, 720W, 165,  938, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
AL, 05, 2021081406, 05, CARQ,  336, 142N, 726W, 160,  941, HU,  64, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,   ELSA,  ,
