AL, 06, 2021082900, 06, CARQ, -66, 149N,  159W,  30, 1010, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021082906, 06, CARQ, -60, 149N,  163W,  30, 1010, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021082912, 06, CARQ, -54, 149N,  166W,  30, 1009, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021082918, 06, CARQ, -48, 149N,  170W,  30, 1009, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021083000, 06, CARQ, -42, 150N,  174W,  30, 1008, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021083006, 06, CARQ, -36, 150N,  179W,  30, 1008, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021083012, 06, CARQ, -30, 150N,  183W,  30, 1007, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021083018, 06, CARQ, -24, 151N,  188W,  30, 1007, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021083100, 06, CARQ, -18, 151N,  192W,  30, 1006, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021083106, 06, CARQ, -12, 151N,  198W,  35, 1005, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021083112, 06, CARQ,  -6, 151N,  205W,  40, 1004, WV,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021083118, 06, CARQ,   0, 152N,  213W,  40, 1002, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
AL, 06, 2021090100, 06, CARQ,   6, 152N,  222W,  40, 1001, TS,  34, NEQ,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     FRED,  ,
